,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
288,Maxixe,20,MZ,1559705124,72,-23.86,35.35,66.2,1.95
289,Port Alfred,3,ZA,1559705238,53,-33.59,26.89,69.01,11.99
290,Serebryansk,87,KZ,1559705343,60,49.68,83.3,64.59,9.04
291,Gamba,0,CN,1559705343,31,28.28,88.52,45.87,6.58
292,Yeppoon,0,AU,1559705343,28,-23.13,150.74,69.8,5.82
293,Baykit,1,RU,1559705343,30,61.68,96.39,68.19,4.38
294,Bintulu,75,MY,1559705343,74,3.17,113.03,87.8,3.36
295,Pobe,100,BJ,1559705343,89,6.98,2.66,76.47,4.36
296,Tual,100,ID,1559705073,83,-5.67,132.75,80.97,28.3
297,Santa Fe,26,AR,1559705344,80,-31.62,-60.7,62.01,8.01
298,Shache,43,CN,1559705344,69,38.42,77.24,66.99,13.15
299,Srisailam,85,IN,1559705344,48,16.07,78.87,91.77,12.01
300,Kitui,45,KE,1559705344,95,-1.37,38.02,60.45,2.57
301,Zyryanka,99,RU,1559705345,32,65.73,150.89,52.53,9.66
302,Plettenberg Bay,37,ZA,1559705345,81,-34.05,23.37,57.57,6.69
303,Touros,0,BR,1559705345,94,-5.2,-35.46,75.2,4.7
304,Boa Vista,90,BR,1559705345,88,2.82,-60.67,77.0,4.7
305,Vestmanna,99,FO,1559705345,87,62.16,-7.17,42.8,8.05
306,Finnsnes,40,NO,1559705345,87,69.23,17.98,48.2,8.05
307,Rocha,59,UY,1559705346,85,-34.48,-54.34,45.15,6.4
308,York,2,GB,1559705346,93,53.96,-1.08,52.0,6.93
309,Merauke,100,ID,1559705346,83,-8.49,140.4,80.43,22.75
310,Lodwar,82,KE,1559705346,53,3.12,35.6,82.59,2.44
311,Souillac,0,FR,1559705346,93,45.6,-0.6,61.0,4.41
312,Altay,50,CN,1559705347,55,47.83,88.13,55.41,5.59
313,Diapaga,77,BF,1559705347,47,12.07,1.79,87.81,8.28
314,Chumikan,7,RU,1559705058,67,54.72,135.31,52.89,7.2
